-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  56.1956   Longitude 10.276 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 43.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS        MERRA-2 Surface Pressure (kPa) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,PS,WS10M,WD10M,WS50M,WD50M
2023,1,1,99.83,7.81,217.0,10.91,217.38
2023,1,2,100.42,4.39,237.44,6.61,238.12
2023,1,3,101.47,5.98,234.88,8.52,235.31
2023,1,4,99.61,9.34,217.62,12.46,219.38
2023,1,5,100.38,6.43,264.19,8.46,265.19
2023,1,6,100.41,8.33,204.31,11.15,205.69
2023,1,7,100.27,5.91,187.94,8.44,189.0
2023,1,8,99.25,6.42,190.62,8.62,192.06
2023,1,9,98.9,5.42,191.69,7.31,192.81
2023,1,10,100.14,6.29,221.06,8.59,222.0
2023,1,11,99.4,8.92,219.25,11.83,220.88
2023,1,12,99.0,6.2,212.94,8.39,214.06
2023,1,13,98.54,9.49,223.94,12.34,225.56
2023,1,14,99.06,8.83,214.38,11.29,215.56
2023,1,15,97.69,12.13,232.31,15.73,233.88
2023,1,16,98.04,7.09,181.19,9.29,182.06
2023,1,17,97.16,6.91,190.44,8.7,191.31
2023,1,18,98.37,6.55,201.0,8.96,201.75
2023,1,19,99.02,4.15,221.44,5.62,222.56
2023,1,20,100.87,2.95,89.38,4.62,74.81
2023,1,21,102.77,3.73,49.94,6.1,49.94
2023,1,22,103.15,3.4,81.06,5.22,82.06
2023,1,23,103.41,1.87,152.25,2.74,153.38
2023,1,24,103.29,4.88,230.44,6.62,230.69
2023,1,25,102.18,6.66,227.12,8.78,228.0
2023,1,26,101.72,5.57,177.31,7.55,178.5
2023,1,27,102.39,2.82,99.25,4.3,99.38
2023,1,28,101.89,5.64,250.69,7.61,251.25
2023,1,29,100.75,8.36,248.25,10.77,249.25
2023,1,30,99.47,11.55,291.0,15.09,292.31
2023,1,31,99.88,9.47,269.06,12.58,270.19
2023,2,1,99.3,10.73,279.31,14.0,280.75
2023,2,2,100.84,4.24,274.94,5.95,275.12
2023,2,3,100.47,9.7,200.62,12.88,201.75
2023,2,4,103.07,3.8,100.56,5.76,100.94
2023,2,5,102.96,5.98,262.62,7.98,263.88
2023,2,6,103.42,2.88,262.0,3.85,262.75
2023,2,7,103.28,5.29,218.06,6.84,218.69
2023,2,8,102.96,6.08,199.81,7.8,200.44
2023,2,9,101.8,8.19,233.12,10.75,234.5
2023,2,10,101.87,7.84,257.69,10.65,258.75
2023,2,11,101.76,8.79,285.75,11.88,287.0
2023,2,12,102.78,5.91,271.5,8.12,272.38
2023,2,13,102.89,5.34,279.25,7.67,279.81
2023,2,14,102.84,3.11,204.88,4.08,205.19
2023,2,15,101.89,4.12,182.94,5.08,183.44
2023,2,16,101.09,4.41,229.44,6.36,230.06
2023,2,17,99.59,12.85,247.5,16.8,249.0
2023,2,18,100.32,8.02,292.88,10.82,293.75
2023,2,19,100.97,6.72,285.44,9.09,286.12
2023,2,20,99.88,12.27,269.44,15.94,270.81
2023,2,21,100.52,7.0,295.12,9.51,295.81
2023,2,22,100.88,4.88,150.06,6.12,150.62
2023,2,23,100.43,4.89,254.69,6.98,255.69
2023,2,24,99.05,8.98,270.31,11.44,271.56
2023,2,25,100.23,9.22,7.06,12.14,7.81
2023,2,26,101.82,5.13,93.31,7.66,93.44
2023,2,27,102.43,3.71,215.62,5.71,215.81
2023,2,28,102.57,2.21,253.31,3.23,254.0
2023,3,1,102.43,3.2,176.94,4.36,177.56
2023,3,2,102.02,3.24,237.38,5.11,237.69
2023,3,3,101.37,5.73,281.88,7.38,282.44
2023,3,4,101.03,6.5,327.56,8.84,328.12
2023,3,5,100.36,4.28,311.31,6.02,311.69
2023,3,6,99.38,3.68,252.75,5.04,253.25
2023,3,7,97.9,9.29,264.44,12.0,266.12
2023,3,8,99.01,2.15,232.06,3.09,231.75
2023,3,9,99.21,3.3,201.81,4.66,202.94
2023,3,10,98.93,3.06,96.19,4.13,96.19
2023,3,11,99.64,6.02,299.56,7.91,300.44
2023,3,12,99.84,5.69,217.19,7.59,218.5
2023,3,13,97.91,11.0,215.81,14.91,216.94
2023,3,14,98.16,8.67,277.94,11.49,278.75
2023,3,15,100.24,7.22,271.81,9.55,272.81
2023,3,16,101.05,7.19,180.25,9.44,180.94
2023,3,17,100.25,6.33,177.06,8.74,178.19
2023,3,18,100.35,2.24,226.62,3.49,226.69
2023,3,19,100.71,4.06,175.38,5.64,175.88
2023,3,20,100.7,4.85,264.12,6.82,264.5
2023,3,21,100.42,4.95,193.0,6.54,193.62
2023,3,22,99.48,7.98,218.94,10.91,220.0
2023,3,23,99.11,7.2,221.94,10.01,222.88
2023,3,24,98.74,8.78,219.94,11.62,220.94
2023,3,25,98.82,5.73,241.25,8.24,241.88
2023,3,26,99.59,6.22,322.12,8.12,322.44
2023,3,27,100.52,5.72,320.44,7.56,320.75
2023,3,28,101.39,4.2,274.5,6.05,275.12
2023,3,29,100.56,4.76,195.38,6.44,196.12
2023,3,30,99.42,6.21,183.56,8.38,184.75
2023,3,31,99.07,4.77,167.75,6.27,169.06
2023,4,1,100.27,8.28,65.38,10.75,65.94
2023,4,2,102.21,5.02,50.12,7.17,50.38
2023,4,3,102.91,3.09,91.75,4.02,90.94
2023,4,4,102.33,2.95,306.5,4.37,306.31
2023,4,5,101.73,2.58,154.0,3.67,153.88
2023,4,6,101.4,4.77,153.19,6.43,153.44
2023,4,7,101.85,5.38,81.44,7.32,82.0
2023,4,8,102.27,3.6,66.38,5.17,66.44
2023,4,9,102.22,2.67,149.56,3.93,149.56
2023,4,10,101.25,8.45,139.56,11.03,140.88
2023,4,11,99.9,5.2,224.88,7.3,225.5
2023,4,12,99.67,7.77,137.06,9.75,138.0
2023,4,13,99.52,5.8,160.81,7.84,161.94
2023,4,14,100.65,3.45,84.0,4.96,84.0
2023,4,15,101.01,5.11,66.12,7.39,67.0
2023,4,16,101.81,2.98,48.25,4.57,47.94
2023,4,17,102.42,4.44,43.5,6.61,43.25
2023,4,18,102.87,5.11,58.19,7.72,58.38
2023,4,19,102.7,5.52,50.38,8.02,50.81
2023,4,20,102.23,6.79,59.75,9.95,60.69
2023,4,21,101.75,4.49,83.38,6.95,83.81
2023,4,22,100.53,5.96,122.69,8.43,123.5
2023,4,23,99.82,4.46,220.62,6.36,221.31
2023,4,24,99.22,5.94,191.5,7.98,192.0
2023,4,25,99.7,8.96,284.88,11.24,286.25
2023,4,26,100.58,8.02,284.0,10.28,284.88
2023,4,27,101.12,6.45,282.06,8.56,282.81
2023,4,28,101.1,2.8,159.25,3.91,158.38
2023,4,29,101.06,6.11,282.12,7.9,282.62
2023,4,30,101.61,4.92,293.44,6.71,293.81
2023,5,1,100.86,5.43,222.31,7.55,222.75
2023,5,2,101.41,5.73,305.0,7.45,305.81
2023,5,3,102.12,4.66,304.25,6.3,305.12
2023,5,4,102.06,3.13,154.62,4.49,154.94
2023,5,5,101.95,10.12,104.25,12.86,104.94
