Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-01,1,0.056,0.0,0.0,4247.257349,1020.461815,4247.257349,232.56,12.52,231.75,9.1,100.35,0.1982387451446419,-5.633754938719492,-7.146384071014777,-7.611287327136464,-9.940759791070896
2023-01-01,2,0.255,0.0,0.0,3954.0592169999995,217.569185,3954.0592169999995,192.19,9.26,191.19,6.27,99.81,0.2422756982427084,-6.150801285174646,-1.2167758833466071,-9.051212581063968,-1.9552879103572816
2023-01-01,3,0.0,428.0014,6933.316294,8837.186328,950.9734349999999,16198.504022,235.06,12.59,234.19,9.0,100.37,0.2085686363709174,-5.265893010761404,-7.298655410362527,-7.210523497651356,-10.320680737713849
2023-01-01,4,0.023,0.0,0.0,4370.74207,784.237044,4370.74207,230.19,11.87,229.0,8.58,100.01,0.2016730764287845,-5.628986468738552,-6.475408198311384,-7.599693674601497,-9.11819916717232
2023-01-01,5,0.009,1814.76134,2982.390181,12625.430397,1898.129707,17422.581918,228.25,12.2,227.5,8.93,100.17,0.1938686509372128,-6.033020554007847,-6.5838866177144055,-8.123756325210179,-9.101899975752731
2023-01-01,6,0.019999999999999997,0.0,0.0,4259.308107,3415.419237,4259.308107,168.88,6.8,168.75,4.67,100.07,0.2334750148472353,-4.580267259483086,0.9110718038153184,-6.6723327292879615,1.311478535727006
2023-01-01,7,0.0,545.448761,0.0,7559.518464,427.59205299999996,8104.967225,190.19,8.99,188.38,6.21,99.95,0.2298640722204867,-6.1436974774423945,-0.905031107569216,-8.848196235869018,-1.59044753813301
2023-01-01,8,0.0,0.0,0.0,406.93926,97.088,406.93926,242.88,14.93,242.19,11.38,100.76,0.1687018683698564,-5.309236827410451,-10.065605014626223,-6.805924441887055,-13.288502266671152
2023-01-01,9,0.0,669.6257,0.0,366.92323700000003,6095.408579,1036.548937,237.12,12.64,236.31,8.98,100.4,0.2124136033850272,-4.981198956190421,-7.471817513754432,-6.862020064825422,-10.615191031250136
2023-01-01,10,0.041,46.9434,3521.21941,3176.142498,3522.2012729999997,6744.305308,217.38,10.91,217.0,7.81,99.83,0.2076966333468748,-6.237343333469357,-4.700175330817498,-8.669376056496032,-6.623444631840241
2023-01-02,1,0.017,0.0,0.0,1686.939293,1304.8374310000002,1686.939293,229.88,7.45,229.19,5.22,100.83,0.2210191693315699,-3.4115451702051844,-3.950918823723119,-4.800709958474917,-5.696989020052589
2023-01-02,2,0.241,0.0,0.0,2129.229761,2685.873102,2129.229761,244.62,6.22,244.12,3.67,100.45,0.3278027941361865,-1.6019100676816986,-3.301936422019663,-2.6660150550812993,-5.619676478773476
2023-01-02,3,0.0,158.3526,6344.491259,5654.990777,953.093382,12157.834636000001,225.25,7.62,224.81,5.26,100.8,0.2302948999060023,-3.7316951327030967,-3.707027304533919,-5.364592200354479,-5.411612562249435
2023-01-02,4,0.029,0.0,0.0,1062.3905340000001,1612.706146,1062.3905340000001,238.94,6.88,238.44,4.51,100.55,0.2624031005905347,-2.3604941349962556,-3.842937345136956,-3.549635661000233,-5.893597091263996
2023-01-02,5,0.005,1577.16936,2202.217328,5473.805821,4485.267229,9253.192509,243.06,7.45,242.69,4.84,100.75,0.2679813295876909,-2.2206144598404025,-4.300519901215168,-3.3752760739313805,-6.641536827026284
2023-01-02,6,0.016,0.0,0.0,2894.0935059999997,4913.572308,2894.0935059999997,246.31,5.64,246.12,3.41,100.68,0.3126382014038363,-1.3804444769884576,-3.118088043329127,-2.26608407896809,-5.1647326113795415
2023-01-02,7,0.0,530.059686,0.0,5417.876054,715.849195,5947.93574,246.56,6.76,246.06,4.03,100.61,0.3213895423365457,-1.635292423394786,-3.683302687804467,-2.6890503100101375,-6.202145469934931
2023-01-02,8,0.0,0.0,0.0,285.095008,176.837,285.095008,222.56,11.89,221.94,9.34,101.07,0.1499849460466983,-6.947513512397613,-6.242407868367187,-8.757810835061042,-8.04194313442264
2023-01-02,9,0.0,342.8845,0.0,166.571313,12830.785389,509.455813,224.5,7.96,224.0,5.53,100.81,0.2263157724246552,-3.9779490958727406,-3.841460788638256,-5.677473575267286,-5.5792377438268135
2023-01-02,10,0.024999999999999998,23.1944,4373.058378,1826.166018,5994.692096,6222.418796,238.12,6.61,237.44,4.39,100.42,0.2542840724794174,-2.362621223442366,-3.700016345171963,-3.4910183259208,-5.612921792443321
2023-01-03,1,0.193,0.0,0.0,1993.603893,1011.444977,1993.603893,237.0,8.91,236.44,6.83,101.94,0.1651816238738595,-3.775691792599386,-5.6914893909501085,-4.852733801983891,-7.472554760393729
2023-01-03,2,1.085,0.0,0.0,2552.499377,4706.763419,2552.499377,234.81,8.52,234.12,5.33,101.45,0.2914465348676054,-3.123857371555412,-4.3186126385887995,-4.909988147737061,-6.962931594456575
2023-01-03,3,0.0,159.2968,4557.355068000001,5451.98217,1035.1269240000001,10168.634038,246.75,8.95,246.06,6.57,101.91,0.1920792951389497,-2.665973007866934,-6.004788749100582,-3.53295751463919,-8.22318133083264
2023-01-03,4,0.114,0.0,0.0,1309.539822,2337.0713769999998,1309.539822,230.44,8.59,229.56,5.7,101.61,0.2548296880464177,-3.6973129635322657,-4.338188198971577,-5.470850007576783,-6.622529742824649
2023-01-03,5,0.02,2354.95197,3356.114903,8222.44648,6457.27929,13933.513353,228.0,8.98,227.19,6.09,101.77,0.2412965406071258,-4.138577365445524,-4.467692624859277,-6.008792845102546,-6.6734405327870014
2023-01-03,6,0.132,0.0,0.0,2383.346657,5679.423563,2383.346657,246.69,6.59,246.69,4.25,101.68,0.2725388548320596,-1.6817496316026976,-3.9031036594746222,-2.6077011934733596,-6.052106615514768
2023-01-03,7,0.006,654.803595,0.0,6929.368354,857.849734,7584.171949,231.5,8.99,230.81,5.87,101.59,0.2648491199010308,-3.70921801310181,-4.549571598654214,-5.5964065833722,-7.0356473301032
2023-01-03,8,0.0,0.0,0.0,348.131328,170.397,348.131328,267.75,11.34,266.88,9.75,102.06,0.0938644554864342,-0.5306668061663422,-9.735547891147842,-0.4452063107078426,-11.331257270969797
2023-01-03,9,0.0,407.6297,0.0,234.49735800000002,16534.925712,642.1270580000001,252.5,8.97,252.0,6.77,101.9,0.174834075283437,-2.092045051918395,-6.438652615318189,-2.6973310215533286,-8.554841048211596
2023-01-03,10,0.139,32.2276,3518.866385,1998.9088570000001,8252.221427999999,5550.002842,235.31,8.52,234.88,5.98,101.47,0.2199499403759562,-3.4402390146954764,-4.891334738265937,-4.849038920701663,-7.005513653224897
2023-01-04,1,0.009000000000000001,0.0,0.0,4299.888032,890.834872,4299.888032,221.06,13.43,219.62,10.4,100.15,0.1588661497361665,-8.011023206065474,-6.632006272002498,-10.126517382154582,-8.821482058527417
2023-01-04,2,0.129,0.0,0.0,6700.223554,1119.88008,6700.223554,215.06,11.48,213.38,8.41,99.52,0.193350059982078,-7.022686117637029,-4.627091926161416,-9.396964876253882,-6.594501581958325
2023-01-04,3,0.0,362.2096,7681.471322,9743.546799,1170.225749,17787.227721,213.44,12.35,211.94,9.43,100.24,0.1676112910877298,-8.0023221522714,-4.988761386483263,-10.305622394630449,-6.805633479646945
2023-01-04,4,0.008,0.0,0.0,4863.359882,1033.4713219999999,4863.359882,228.38,13.41,226.44,10.09,99.77,0.17674236497751,-6.953158326628346,-7.311750083587301,-8.906750391889785,-10.024863961998246
2023-01-04,5,0.0,3527.06858,3564.371219,19044.705374,752.649254,26136.145173,230.88,14.38,229.31,10.98,99.92,0.1676131238908923,-7.158587497962204,-8.32556454746579,-9.0730129751406,-11.156380934376983
2023-01-04,6,0.017,6.17,0.0,9938.60943,4183.55325,9944.77943,203.25,11.28,201.62,8.46,99.77,0.1787469216608006,-7.864821483871204,-3.117079246159451,-10.363964850479572,-4.452710700014533
2023-01-04,7,0.0,955.084224,0.0,14471.777398,396.031118,15426.861622,219.69,12.19,218.25,9.07,99.62,0.1836937461719202,-7.122824563088356,-5.6151821202401955,-9.380339447696269,-7.784942636011732
2023-01-04,8,0.0,0.0,0.0,411.766252,153.755,411.766252,212.06,12.88,210.94,10.93,100.81,0.1020010882181093,-9.374728517012771,-5.6195520490789574,-10.915705990266598,-6.836794770508907
2023-01-04,9,0.0,686.6623,0.0,384.388623,13382.43629,1071.050923,209.75,11.74,208.31,8.99,100.31,0.1658274381723622,-7.914747418913987,-4.263434448281618,-10.19265408210253,-5.8255817531469445
2023-01-04,10,0.016,62.4988,8333.846874,5185.010235,5183.827673,13581.355909000002,219.38,12.46,217.62,9.34,99.61,0.1790794530760484,-7.397995577094693,-5.701338565748167,-9.631020410953484,-7.905380815861902
