Place,Latitude,Longitude,Cluster
Faaborg-Midtfyn,55.1966595,10.4280673,1
Kalundborg,55.6833793,11.0993619,1
Kerteminde,55.4532771,10.6547783,1
Langeland,54.9432304,10.7775084,1
Nordfyn,55.5141129,10.2378158,1
Nyborg,55.3098281,10.7976604,1
Odense,55.3997225,10.3852104,1
Svendborg,55.0636926,10.6085377,1
Ærø,54.8940447,10.3238828,1
Herning,56.1379757,8.9746623,2
Ikast-Brande,56.0533577,9.2560364,2
Silkeborg,56.169453,9.5495141,2
Vesthimmerland,56.8245918,9.4056669,2
Viborg,56.4469128,9.4059354,2
Faxe,55.2521203,12.1142399,3
Guldborgsund,54.7909399,11.8259447,3
Holbæk,55.7186117,11.7135474,3
Lolland,54.7772537,11.4156894,3
Næstved,55.2328252,11.7674102,3
Odsherred,55.8874903,11.5991672,3
Ringsted,55.446817,11.7975218,3
Slagelse,55.4061196,11.3525415,3
Sorø,55.4365822,11.5629363,3
Vordingborg,55.0102518,11.9097478,3
Aabenraa,55.0446228,9.4209667,4
Assens,55.265798,9.9002174,4
Fredericia,55.565268,9.7562169,4
Haderslev,55.2500715,9.4997871,4
Hedensted,55.7705233,9.6994255,4
Horsens,55.8611696,9.8444774,4
Kolding,55.4894999,9.47905,4
Middelfart,55.4469979,9.936986,4
Sønderborg,54.9089186,9.7897999,4
Vejle,55.7000057,9.5333238,4
Billund,55.7247018,9.1195835,5
Esbjerg,55.4664892,8.4520751,5
Fanø,55.4064775,8.4246002,5
Ringkøbing-Skjern,56.0176795,8.5473376,5
Tønder,54.9380637,8.8629408,5
Varde,55.6176702,8.4811757,5
Vejen,55.4743417,9.1317951,5
Aalborg,57.0462626,9.9215263,6
Brønderslev,57.2700129,9.9448631,6
Frederikshavn,57.4412134,10.5336225,6
Hjørring,57.457183,9.9855998,6
Jammerbugt,57.3669067,9.5205124,6
Læsø,57.2719765,10.9932053,6
Mariagerfjord,56.7056461,9.9200663,6
Rebild,56.8313377,9.8494984,6
Holstebro,56.3590324,8.6159188,7
Lemvig,56.5486971,8.3046456,7
Morsø,56.8268475,8.7294541,7
Skive,56.6459244,8.9327322,7
Stevns,56.973882,8.7556619,7
Struer,56.4866768,8.5951427,7
Thisted,56.9562093,8.6848749,7
Bornholm,55.1431224,14.9226297,8
Allerød,55.8707776,12.3556762,9
Copenhagen,55.6867243,12.5700724,9
Egedal,55.7797855,12.1854997,9
Frederikssund,55.8417752,12.063595,9
Greve,55.5833746,12.2999286,9
Gribskov,56.003327,12.2913018,9
Halsnæs,55.9737791,11.9296827,9
Helsingør,56.0348739,12.6130073,9
Hillerød,55.9285735,12.3063909,9
Hvidovre,55.6441712,12.4772091,9
Høje-Taastrup,55.6564263,12.2418697,9
Ishøj,55.6094468,12.3582555,9
Køge,55.4565009,12.1818964,9
Lejre,55.6043432,11.9737103,9
Roskilde,55.6433478,12.0819247,9
Solrød,55.5375279,12.1696168,9
Aarhus,56.1496278,10.2134046,10
Favrskov,56.3364328,9.9909072,10
Norddjurs,56.4511784,10.6086888,10
Odder,55.975832,10.1513202,10
Randers,56.4617545,10.0371476,10
Samsø,55.8835843,10.611395,10
Skanderborg,56.0351868,9.9317878,10
Syddjurs,56.2714689,10.6629495,10
