Place,Latitude,Longitude
Herning,56.1379757,8.9746623
Hillerød,55.9285735,12.3063909
Odder,55.975832,10.1513202
Hvidovre,55.6441712,12.4772091
Allerød,55.8707776,12.3556762
Horsens,55.8611696,9.8444774
Mariagerfjord,56.7056461,9.9200663
Frederikssund,55.8417752,12.063595
Nyborg,55.3098281,10.7976604
Billund,55.7247018,9.1195835
Ikast-Brande,56.0533577,9.2560364
Rebild,56.8313377,9.8494984
Vejle,55.7000057,9.5333238
Hjørring,57.457183,9.9855998
Silkeborg,56.169453,9.5495141
Jammerbugt,57.3669067,9.5205124
Vesthimmerland,56.8245918,9.4056669
Frederikshavn,57.4412134,10.5336225
Køge,55.4565009,12.1818964
Faxe,55.2521203,12.1142399
Lejre,55.6043432,11.9737103
Tønder,54.9380637,8.8629408
Guldborgsund,54.7909399,11.8259447
Aabenraa,55.0446228,9.4209667
Stevns,56.973882,8.7556619
Sønderborg,54.9089186,9.7897999
Kolding,55.4894999,9.47905
Kerteminde,55.4532771,10.6547783
Norddjurs,56.4511784,10.6086888
Ringsted,55.446817,11.7975218
Greve,55.5833746,12.2999286
Hedensted,55.7705233,9.6994255
Skive,56.6459244,8.9327322
Randers,56.4617545,10.0371476
Halsnæs,55.9737791,11.9296827
Kalundborg,55.6833793,11.0993619
Aarhus,56.1496278,10.2134046
Helsingør,56.0348739,12.6130073
Morsø,56.8268475,8.7294541
Egedal,55.7797855,12.1854997
Syddjurs,56.2714689,10.6629495
Brønderslev,57.2700129,9.9448631
Vejen,55.4743417,9.1317951
Odense,55.3997225,10.3852104
Holbæk,55.7186117,11.7135474
Esbjerg,55.4664892,8.4520751
Thisted,56.9562093,8.6848749
Holstebro,56.3590324,8.6159188
Bornholm,55.1431224,14.9226297
Faaborg-Midtfyn,55.1966595,10.4280673
Svendborg,55.0636926,10.6085377
Copenhagen,55.6867243,12.5700724
Slagelse,55.4061196,11.3525415
Næstved,55.2328252,11.7674102
Assens,55.265798,9.9002174
Roskilde,55.6433478,12.0819247
Skanderborg,56.0351868,9.9317878
Aalborg,57.0462626,9.9215263
Ringkøbing-Skjern,56.0176795,8.5473376
Lemvig,56.5486971,8.3046456
Solrød,55.5375279,12.1696168
Favrskov,56.3364328,9.9909072
Fredericia,55.565268,9.7562169
Lolland,54.7772537,11.4156894
Nordfyn,55.5141129,10.2378158
Gribskov,56.003327,12.2913018
Ærø,54.8940447,10.3238828
Sorø,55.4365822,11.5629363
Middelfart,55.4469979,9.936986
Vordingborg,55.0102518,11.9097478
Odsherred,55.8874903,11.5991672
Viborg,56.4469128,9.4059354
Haderslev,55.2500715,9.4997871
Varde,55.6176702,8.4811757
Struer,56.4866768,8.5951427
Samsø,55.8835843,10.611395
Fanø,55.4064775,8.4246002
Langeland,54.9432304,10.7775084
Læsø,57.2719765,10.9932053
Høje-Taastrup,55.6564263,12.2418697
Ishøj,55.6094468,12.3582555
